dataset,seed,model,instance_id,method,mode,significance,n_neighbors,merge_adjacent,rule_id,feature,condition,representative_value,p_value_guard,prediction_point,prediction_low,prediction_high,plausibility_flag,runtime_ms
scenario_a,0,logreg,24,standard,factual,0.2,3,True,r2,1,1 < 0.09,-0.325956400699744,,0.3347871406627167,0.3238814700961692,0.3418695426547235,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.2,3,True,r3,1,1 > 0.74,1.8440469583168166,,0.8946686429033175,0.8922344322344323,0.9204693611473272,True,81.9597999798134
scenario_a,0,logreg,24,guarded,factual,0.2,5,False,r0,0,0.1603 < 0 <= 0.7391,0.44906933917286873,0.996,0.8369565217391305,0.8351648351648352,0.8461538461538461,True,25.357599981362
scenario_a,0,logreg,24,guarded,factual,0.2,5,False,r1,1,0.08788 < 1 <= 0.738,0.37582550260734443,0.723,0.6666666666666666,0.625,0.75,True,25.357599981362
scenario_a,0,logreg,24,standard,factual,0.2,5,False,r0,0,0 < 0.16,-0.20530817811346044,,0.3518689839361793,0.335506562987479,0.36326320710612436,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.2,5,False,r1,0,0 > 0.74,1.56221249688077,,0.9452022101827962,0.9435379435379435,0.9717514124293786,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.2,5,False,r2,1,1 < 0.09,-0.325956400699744,,0.3347871406627167,0.3238814700961692,0.3418695426547235,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.2,5,False,r3,1,1 > 0.74,1.8440469583168166,,0.8946686429033175,0.8922344322344323,0.9204693611473272,True,81.9597999798134
scenario_a,0,logreg,24,guarded,factual,0.2,5,True,r0,0,0 > -0.6995,0.34556144413948386,0.857,0.7678571428571428,0.7441860465116279,0.8461538461538461,True,29.932199977338314
scenario_a,0,logreg,24,guarded,factual,0.2,5,True,r1,1,1 > -1.093,0.33909447183539854,0.755,0.6176470588235294,0.6060606060606061,0.6363636363636364,True,29.932199977338314
scenario_a,0,logreg,24,standard,factual,0.2,5,True,r0,0,0 < 0.16,-0.20530817811346044,,0.3518689839361793,0.335506562987479,0.36326320710612436,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.2,5,True,r1,0,0 > 0.74,1.56221249688077,,0.9452022101827962,0.9435379435379435,0.9717514124293786,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.2,5,True,r2,1,1 < 0.09,-0.325956400699744,,0.3347871406627167,0.3238814700961692,0.3418695426547235,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.2,5,True,r3,1,1 > 0.74,1.8440469583168166,,0.8946686429033175,0.8922344322344323,0.9204693611473272,True,81.9597999798134
scenario_a,0,logreg,24,guarded,factual,0.2,10,False,r0,0,0.1603 < 0 <= 0.7391,0.44906933917286873,0.985,0.8369565217391305,0.8351648351648352,0.8461538461538461,True,25.550999998813495
scenario_a,0,logreg,24,guarded,factual,0.2,10,False,r1,1,0.08788 < 1 <= 0.738,0.37582550260734443,0.893,0.6666666666666666,0.625,0.75,True,25.550999998813495
scenario_a,0,logreg,24,standard,factual,0.2,10,False,r0,0,0 < 0.16,-0.20530817811346044,,0.3518689839361793,0.335506562987479,0.36326320710612436,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.2,10,False,r1,0,0 > 0.74,1.56221249688077,,0.9452022101827962,0.9435379435379435,0.9717514124293786,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.2,10,False,r2,1,1 < 0.09,-0.325956400699744,,0.3347871406627167,0.3238814700961692,0.3418695426547235,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.2,10,False,r3,1,1 > 0.74,1.8440469583168166,,0.8946686429033175,0.8922344322344323,0.9204693611473272,True,81.9597999798134
scenario_a,0,logreg,24,guarded,factual,0.2,10,True,r0,0,0 > -0.6995,0.34556144413948386,0.987,0.7678571428571428,0.7441860465116279,0.8461538461538461,True,30.053800001041964
scenario_a,0,logreg,24,guarded,factual,0.2,10,True,r1,1,1 > -1.093,0.33909447183539854,0.822,0.6176470588235294,0.6060606060606061,0.6363636363636364,True,30.053800001041964
scenario_a,0,logreg,24,standard,factual,0.2,10,True,r0,0,0 < 0.16,-0.20530817811346044,,0.3518689839361793,0.335506562987479,0.36326320710612436,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.2,10,True,r1,0,0 > 0.74,1.56221249688077,,0.9452022101827962,0.9435379435379435,0.9717514124293786,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.2,10,True,r2,1,1 < 0.09,-0.325956400699744,,0.3347871406627167,0.3238814700961692,0.3418695426547235,True,81.9597999798134
scenario_a,0,logreg,24,standard,factual,0.2,10,True,r3,1,1 > 0.74,1.8440469583168166,,0.8946686429033175,0.8922344322344323,0.9204693611473272,True,81.9597999798134
scenario_a,0,logreg,86,guarded,factual,0.01,3,False,r0,0,0 <= -0.6995,-1.1844855673218189,0.485,0.030303030303030304,0.0,0.03125,True,24.43439999478869
scenario_a,0,logreg,86,guarded,factual,0.01,3,False,r1,1,-1.093 < 1 <= -0.5355,-0.8044744947300385,0.621,0.014285714285714285,0.0,0.014492753623188406,True,24.43439999478869
scenario_a,0,logreg,86,standard,factual,0.01,3,False,r0,0,0 > -0.70,0.86040381115838,,0.4085000652599937,0.37176492827810237,0.42945942945942944,True,16.639399982523173
scenario_a,0,logreg,86,standard,factual,0.01,3,False,r1,1,1 < -1.09,-1.317200964282812,,0.008194923075041846,0.0,0.008263541218542862,True,16.639399982523173
scenario_a,0,logreg,86,standard,factual,0.01,3,False,r2,1,1 > -0.54,1.2357197221978047,,0.13393243980801584,0.10336022233050006,0.14099599136601912,False,16.639399982523173
scenario_a,0,logreg,86,guarded,factual,0.01,3,True,r0,0,0 (any value),0.021284810671764944,0.294,0.37499999999999994,0.3617021276595745,0.3829787234042553,True,29.040199995506555
scenario_a,0,logreg,86,guarded,factual,0.01,3,True,r1,1,1 <= 1.037,-0.2499175581781049,0.124,0.03076923076923077,0.0,0.031746031746031744,True,29.040199995506555
scenario_a,0,logreg,86,standard,factual,0.01,3,True,r0,0,0 > -0.70,0.86040381115838,,0.4085000652599937,0.37176492827810237,0.42945942945942944,True,16.639399982523173
